Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Betts Cove ophiolite, Nfl|460|1318.78680089485|0.855287124648607|51.76|0.42|16.1|7.65926192619262|0.15|7.84|7.57|3.95|0.15
Betts Cove ophiolite, Nfl|460|1252.04291421156|0.529544525132055|53.37|0.51|16.26|6.33610261026103|0.16|7.91|8.11|3.92|0.15
Betts Cove ophiolite, Nfl|460|1289.61836516493|0.656047544940157|53.57|0.35|14.35|7.13816381638164|0.14|8.04|9.07|4.27|0.03
Betts Cove ophiolite, Nfl|460|1268.96141308567|0.720041315982047|52.93|0.5|15.47|6.71412241224123|0.16|9.08|6.8|4.94|0.08
Betts Cove ophiolite, Nfl|460|1383.5370620366|1.25815330961081|47.14|0.53|15.69|8.47324932493249|0.17|10.62|12.05|1.88|0.05
Betts Cove ophiolite, Nfl|460|1313.3633805245|0.414166996772951|53.29|0.11|11.38|7.57926192619262|0.17|11.82|8.74|2.52|0.12
Betts Cove ophiolite, Nfl|460|1327.10523275899|0.266678922139926|50.99|0.17|11.29|7.56309630963096|0.14|12.89|11.86|0.72|0.08
Betts Cove ophiolite, Nfl|460|1470.69941025269|1.70591214671156|47.41|0.11|14.49|10.4183078307831|0.17|13.42|7.67|0.29|1.69
Betts Cove ophiolite, Nfl|460|1405.45421748541|0.901900789077965|46.66|0.19|12.66|8.53327632763276|0.16|14.36|13.17|0.17|0.04
Isle de Groix, France|460|1428.43075061767|1.6176698404441|47.3276|1.1833|15.22|9.38069189918992|0.1555|14.4052|10.4622|1.5189|0.1223
Buqingshan, Tibet|470|1431.34002531486|1.53318980816971|48.7|1.56|15.03|9.72413141314131|0.23|7.79|10.1|2.61|0.15
Buqingshan, Tibet|470|1337.34543851462|0.694904510778747|51.59|0.89|15.38|8.03124212421242|0.17|8.08|10.51|2.06|0.04
Buqingshan, Tibet|470|1374.87436750614|1.08397544163651|49.29|0.98|14.49|8.53144914491449|0.18|8.56|11.38|2.15|0.4
Buqingshan, Tibet|470|1331.72222286365|1.01898028450298|47.07|0.68|15.78|7.34012601260126|0.16|10.9|11.1|2.25|0.07
Annieopsquotch ophiolite, Nfl|475|1411.7236483942|1.5970256364141|47.46|0.8|18.49|9.22592259225923|0.2|7.9|10.88|2.42|0.04
Annieopsquotch ophiolite, Nfl|475|1550.61914219617|2.69752800559959|48.9|1.34|14.77|12.5922592259226|0.27|8.02|6.64|4.13|0.04
Karmoy ophiolite 1|480|1345.80246027509|1.03603145107741|50.9|0.44|16.07|8.19819081908191|0.2|9|10.1|3.17|0.16
Karmoy ophiolite 1|480|1366.33878494019|1.11688397265649|49.72|0.51|13.74|8.46610261026103|0.21|11.9|8.57|3.12|0.13
Karmoy ophiolite 1|480|1390.24322355973|1.20272759688311|47.99|0.57|13.27|8.57023402340234|0.22|12.72|11.56|1.94|0.13
Karmoy ophiolite 2|480|1346.3395593037|1.03255308883938|54.61|1.16|14.02|8.62521152115211|0.18|8.04|6.72|5.41|0.16
Betts Cove|489|1235.96664286908|0.422443206950633|56|0.15|15.6|6.2|0.12|7.8|6.45|4.48|0.56
Betts Cove|489|1209.73045359277|0.358458591074866|56.3|0.13|13.9|5.52|0.1|8.01|5.85|5.8|0.07
Betts Cove|489|1291.32668231388|0.520655931827594|55.8|0.13|15.1|7.53|0.12|8.6|3.94|4.93|0.05
Betts Cove|489|1337.02651827569|0.66242876895788|54.6|0.11|14.1|8.4|0.13|8.99|7.69|3.44|0.07
Betts Cove|489|1309.3352262524|0.839174994713765|51.7|0.14|14.3|7.42|0.08|9.3|7.93|4.44|0.04
Betts Cove|489|1235.51116328158|0.525698716742528|55.4|0.15|15.4|6.19|0.11|9.31|4.31|5.74|0.25
Betts Cove|489|1268.3116087496|-0.130456724122604|59.2|0.08|10.1|7.13|0.11|9.67|10.2|1.85|0.02
Betts Cove|489|1274.18206671187|0.519762854196839|54.3|0.39|14|6.92|0.06|9.76|6.18|4.3|0.17
Betts Cove|489|1287.23526780367|0.725391509382557|54.3|0.25|14.1|7.25|0.12|10.2|4.38|5.7|0.13
Betts Cove|489|1312.89432872819|0.840862375465367|52.7|0.23|13.2|7.65|0.14|10.2|6.54|4.98|0.07
Betts Cove|489|1310.5351792147|-0.0164271135803243|55.1|0.09|10.4|7.68|0.16|10.5|11.5|0.54|0.27
Betts Cove|489|1354.56512085871|1.17653854245588|50.1|0.48|13.5|8.26|0.13|11.2|6.84|4.56|0.04
Betts Cove|489|1281.9670120174|0.518531295676379|53.9|0.21|12.5|7.06|0.14|11.6|5.62|4.37|0.07
Betts Cove|489|1292.64647008703|0.210356800038439|55|0.12|11.9|7.37|0.12|12.3|6.14|2.43|0.15
Betts Cove|489|1271.29412432198|0.442363249660766|52.6|0.1|12.7|6.71|0.11|13.7|6.21|3.37|0.07
Betts Cove|489|1440.177428127|1.28438085426972|50.73|0.15|11.91|10.08||14.15|10.91|1.89|0.03
Betts Cove|489|1287.53940432792|0.542669734146975|52.4|0.1|12.8|7.04|0.13|14.3|4.52|3.79|0.1
Betts Cove|489|1419.83114839634|1.17090538201693|48.6|0.11|12.8|8.66|0.15|16.9|5.06|2.72|0.13
North Qilian grst, China|517|1387.25396312732|1.33439488035074|51.32|1.39|14.46|9.0999099909991|0.16|7.96|10.41|3.84|0.2
North Qilian grst, China|517|1307.14454833564|0.811185573440509|55.95|0.44|15.11|7.88478847884788|0.14|8.09|5.55|5.91|0.04
North Qilian grst, China|517|1403.21210504835|1.37069104765001|50.67|1.79|14.4|9.3969396939694|0.12|8.25|10.87|3.12|0.2
North Qilian grst, China|517|1366.10476974725|1.15636635055607|50.69|0.93|15.23|8.56885688568857|0.14|8.45|11.72|2.84|0.42
North Qilian grst, China|517|1265.86083718239|0.456782005720282|54.43|0.31|16.93|6.82268226822682|0.14|8.5|9.03|2.64|0.43
North Qilian grst, China|517|1485.8810179557|1.94101053580948|49.9|1.56|14.4|11.2241224122412|0.19|8.67|9.69|2.88|0.1
North Qilian grst, China|517|1329.18808539128|0.601822288132082|55.57|0.7|15.54|8.45184518451845|0.12|8.83|6.39|2.71|0.67
