Location|Age|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Belingwe|2690|45.5|0.283|5.62|10.7916083916084|0.189|29.6|5.51|0.55|0.021
Belingwe|2690|45.5|0.283|5.62|10.7916083916084|0.189|29.6|5.51|0.55|0.021
Belingwe|2690|45.3|0.28|5.54|10.7016783216783|0.187|29.8|5.61|0.66|0.021
Belingwe|2690|45.5|0.278|5.43|10.5218181818182|0.195|29.9|5.49|0.77|0.021
Belingwe|2690|45.5|0.279|5.46|10.6117482517483|0.186|30.1|5.43|0.67|0.021
Belingwe|2690|45.4|0.27|5.41|10.6117482517483|0.187|30.2|5.45|0.63|0.021
Belingwe|2690|45.3|0.279|5.32|10.6117482517483|0.186|30.3|5.48|0.63|0.01
Belingwe|2690|45.3|0.268|5.35|10.6117482517483|0.186|30.4|5.43|0.62|0.021
Belingwe|2690|45.2|0.262|5.27|10.7016783216783|0.189|30.4|5.5|0.64|0.021
Belingwe|2690|45|0.259|5.18|10.7016783216783|0.186|31|5.21|0.61|0.01
Belingwe|2690|44.7|0.261|5.05|10.7016783216783|0.188|31.3|5.35|0.58|0.021
Belingwe|2690|44.7|0.261|5.05|10.7016783216783|0.188|31.3|5.35|0.58|0.021
Belingwe|2692|49.65|0.43|9.01|11.7268811188811|0.21|17.59|8.79|1.19|0.05
Abitibi|2692|50.17|0.44|9.02|11.65|0.2|17.67|9.17|1.58|0.07
Abitibi|2692|50.43|0.45|9.19|12.04|0.2|18.07|8.57|0.98|0.05
Dharwar craton|2692|49.68|0.42|8.61|11.59|0.2|19.11|8.87|1.42|0.07
Nuvvuagittuq Greenstone belt|2692|51.97|0.42|7.85|9.13|0.18|19.87|8.39|1.03|0.05
Basal Aravalli|2692|49.68|0.4|8.24|11.63|0.19|20.2|8.27|1.27|0.08
Belingwe|2692|49.34|0.41|8.24|11.54|0.2|20.65|8.35|1.19|0.07
Belingwe|2692|49.23|0.4|8.14|11.37|0.19|20.81|8.43|1.34|0.07
Belingwe|2692|51.23|0.47|6.91|9.21|0.18|20.93|8.91|1.02|0.03
Belingwe|2692|51.37|0.4|6.92|9.04|0.18|21.01|8.96|1.02|0.02
Belingwe|2692|48.98|0.41|8.04|11.64|0.2|21.28|8.14|1.21|0.07
Belingwe|2692|48.75|0.41|8.07|11.66|0.19|21.91|7.82|1.09|0.06
Belingwe|2692|48.36|0.36|7.57|11.13|0.19|23.14|7.81|1.34|0.07
Belingwe|2692|49.2|0.36|6.76|11.392|0.22|23.29|7.61|0.33|0.3
Belingwe|2692|48.18|0.35|7.23|11.32|0.19|24.17|7.45|1|0.06
Belingwe|2692|48.22|0.33|6.83|11.52|0.2|25.08|6.88|0.88|0.04
Belingwe|2692|48.72|0.33|6.78|11.05|0.19|25.48|6.7|0.7|0.03
Belingwe|2692|48.92|0.4|7.01|10.344|0.18|25.83|6.8|0.18|0.04
Belingwe|2692|47.39|0.33|6.61|10.89|0.18|26.65|6.81|1|0.1
